Date,Name,Year,Letterboxd URI,Rating
2024-09-09,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,4
2024-09-10,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3.5
2024-09-10,Heat,1995,https://boxd.it/2bg8,4.5
2024-09-11,Nope,2022,https://boxd.it/sDCe,4.5
2024-09-11,After Hours,1985,https://boxd.it/1VfS,4
2024-09-12,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2024-09-13,Frances Ha,2012,https://boxd.it/41Xg,2.5
2024-09-14,To Catch a Killer,2023,https://boxd.it/mmKe,3.5
2024-09-15,John Wick,2014,https://boxd.it/7dEc,3.5
2024-09-15,Dark Shadows,2012,https://boxd.it/bQ2,2
2024-09-15,Hit Man,2023,https://boxd.it/ANB2,2.5
2024-09-16,Priscilla,2023,https://boxd.it/Cz3k,2
2024-09-17,Cria!,1976,https://boxd.it/AoC,3
2024-09-18,Argo,2012,https://boxd.it/2czU,4.5
2024-09-18,Pellet,2000,https://boxd.it/1flY,4.5
2024-09-19,Soccer Days,2003,https://boxd.it/uX2,3.5
2024-09-20,Punch-Drunk Love,2002,https://boxd.it/20E4,4.5
2024-09-21,Atomic Blonde,2017,https://boxd.it/blDk,3
2024-09-22,Ex Machina,2015,https://boxd.it/7T2k,3.5
2024-09-23,Superbad,2007,https://boxd.it/20hO,4
2024-09-23,10 Things I Hate About You,1999,https://boxd.it/23AO,3
2024-09-25,Barbarian,2022,https://boxd.it/yohi,3.5
2024-09-26,Sorry to Bother You,2018,https://boxd.it/f21E,4.5
2024-09-28,Training Day,2001,https://boxd.it/27A4,4.5
2024-09-29,Hellraiser,1987,https://boxd.it/1Zpi,2.5
2024-09-30,"Torrente, the Dumb Arm of the Law",1998,https://boxd.it/28Wg,2
2024-09-30,Torrente 2: Mission in Marbella,2001,https://boxd.it/28W6,1.5
2024-09-30,Torrente 3: The Protector,2005,https://boxd.it/28VW,1
2024-10-01,Torrente 4: Lethal crisis,2011,https://boxd.it/iPg,0.5
2024-10-02,Torrente 5,2014,https://boxd.it/7uSK,1
2024-10-03,Mulholland Drive,2001,https://boxd.it/297o,3.5
2024-10-05,The Platform,2019,https://boxd.it/mUm6,3
2024-10-05,Psycho,1960,https://boxd.it/2ab2,5
2024-10-06,The Platform 2,2024,https://boxd.it/Gz88,2.5
2024-10-06,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2024-10-07,See How They Run,2022,https://boxd.it/sNVq,3.5
2024-10-07,Blade,1998,https://boxd.it/1a8A,3.5
2024-10-08,The King of Comedy,1982,https://boxd.it/2aJS,5
2024-10-10,Buried,2010,https://boxd.it/1tXC,3
2024-10-11,Bram Stoker's Dracula,1992,https://boxd.it/223a,4.5
2024-10-12,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-10-13,Rope,1948,https://boxd.it/28yo,4.5
2024-10-13,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,3
2024-10-13,All About My Mother,1999,https://boxd.it/2b9c,3
2024-10-14,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,5
2024-10-15,The Breakfast Club,1985,https://boxd.it/27q4,2.5
2024-10-16,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2024-10-17,All Hallows' Eve,2013,https://boxd.it/6OdU,0.5
2024-10-18,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2024-10-19,Politically Incorrect,2024,https://boxd.it/HywK,2
2024-10-20,Under Therapy,2023,https://boxd.it/C6rW,3
2024-10-21,Life of Brian,1979,https://boxd.it/2a4q,4
